Ward,Tory.Total,Kees.Total,Goldy.Total,Other.Total,Num.Trips,Station,Latitude,Longitude,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.819310395149911,King St W / Fraser Ave,43.6394623,-79.4248104,1,1.20527099725231,0.790902538852028
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,1.82371590906531,Front St W / Blue Jays Way,43.643473,-79.390477,0,1.7529732185915,2.64920047523077
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.89910599204971,Bremner Blvd / Rees St,43.641529,-79.386741,0,0.957727917265752,1.78690441129007
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.880115406638609,Augusta Ave / Dundas St W,43.652175,-79.400913,0,0.943868051426521,1.76985324457746
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.498415820203308,Dundas St W / Crawford St,43.6500648,-79.4170615,1,0.950912583338389,0.810259829350414
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.335467333675862,Lower Sherbourne St / The Esplanade,43.6490352,-79.3672694,0,0.839392398118001,0.866660919167117
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.649043585464041,Nelson St / Duncan St,43.6488016,-79.388923,1,1.06584565602806,0.785063973710778
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.638112419227407,Cherry St / Distillery Ln,43.6503677,-79.3569845,1,1.05720321418083,0.785948734178428
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,1.44612748889142,Niagara St / Richmond St W,43.64534,-79.409597,0,1.40926986606762,2.29119633159771
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,1.87596317819634,Fort York Blvd / Capreol Crt,43.639832,-79.395954,0,1.80160057722914,2.69915826852002
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.0230027259117474,Dockside Dr / Queens Quay E (Sugar Beach),43.6443346,-79.3678102,0,0.685767664715837,1.03971855105716
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.326666818485352,Front St / Bay St (North Side),43.6461463,-79.3793173,0,0.83385137770568,0.870471540715276
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.96932483956978,25 York St,43.643667,-79.380414,0,1.01042537196086,1.85028043895907
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,2.38018638011157,York St / Queens Quay W,43.640132,-79.380464,0,2.27913791317219,3.18506413124307
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.149637507653089,King St W / Tecumseth St,43.6433939,-79.4052578,0,0.736004173461091,0.961132520061885
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,2.15850603431272,Phoebe St / Spadina Ave,43.650033,-79.396555,0,2.06762962640705,2.97068493068475
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.213870088215985,Beverly  St / Dundas St W,43.653814,-79.3938243,0,0.65021594715657,1.20881690353917
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.137594697392391,East Liberty St / Pirandello St,43.6386723,-79.4139607,0,0.730431196011168,0.968167832605257
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.614397346714032,Hanna Ave / Liberty St,43.6385083,-79.4195451,1,1.03860175617888,0.788386065367912
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.577192410081047,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,0,0.753653472630413,1.50416109327714
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,3.129249178327,Simcoe St / Wellington St W,43.645533,-79.3854,0,3.00469844847343,3.91547642210939
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.0485705384652296,HTO Park (Queen's Quay W),43.6375849,-79.3884382,0,0.694344330565043,1.02307565974111
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.710184006787585,Exhibition GO (Atlantic Ave),43.6358793,-79.4187734,1,1.11492599520024,0.78291602178902
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.442277796988054,Queen St W / Dovercourt Rd,43.6434786,-79.4223717,1,0.910743990648146,0.826504114914231
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.767526311028909,King St W / Joe Shuster Way,43.6397139,-79.4235468,1,1.16199747563084,0.785234264483198
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,3.18075535144198,King St W / Spadina Ave,43.645323,-79.395003,0,3.05500556246249,3.96595593386162
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.465251773485386,King St W / Stafford St,43.6422906,-79.4107175,1,0.926982068965556,0.819430422974184
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.516051988757503,Queen St W / Portland St,43.647714,-79.4014195,0,0.724625011648455,1.45230409637901
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.342079698991417,Queen St W / Shaw St,43.644524,-79.416519,0,0.666243143049063,1.30913898784084
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,1.24658738657185,Queen St W / Spadina Ave,43.649147,-79.395504,0,1.23565096522936,2.10477164878621
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.287388729635075,Queen St W / York St (City Hall),43.6534399,-79.3840901,0,0.809824946543115,0.888342999509641
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.635889131179278,Queens Quay / Yonge St,43.6419596,-79.3746697,1,1.05545059901498,0.786147167482241
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.729545140206707,Niagara St / Tecumseth St,43.641387,-79.4044383,1,1.13071321483659,0.783230223175217
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,2.64003317073664,Widmer St / Adelaide St,43.647145,-79.391479,0,2.5292802892551,3.43753210659069
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.220412177185192,Yonge St / Harbour St,43.6432796,-79.3754993,0,0.771746225285475,0.92188303490477
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,1.91653818507469,Union Station,43.645566,-79.379438,0,1.83950133083195,2.73801424234962
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,1.1058717805257,Metro Hall Plaza,43.645859,-79.38783,0,1.11842710381621,1.97484684900117
